Obs,ItemKey,ItemName,ItemHdr,XpressfeedMnemonic,ItemNameType,ItemType,ItemDesc,ItemLongDesc,DefaultKeyset,DefaultKeysetTag,FileDimKey,FileTag,ItemSeqNum,CalendarType,CalendarFreq,SASDataType,SASFieldSize,SASFormat,ItemHasDataFlg,ItemDensityFlg,ItemActiveFlg
298,298,AQEPSY,AQEPSY,AQEPSY,AM,IT,Acquisition/Merger Basic EPS Effect,AQEPSY: Acquisition/Merger Basic EPS Effect (Refer to your Compustat documentation for item definitions),1,STD,42,IS_YTD,17,F,YTD,1,8,14.4,Y,Y,Y
299,299,AQEPSY_DC,AQEPSY_DC,AQEPSY_DC,AM,DC,Acquisition/Merger Basic EPS Effect DC,AQEPSY_DC: Acquisition/Merger Basic EPS Effect Data Code (Refer to your Compustat documentation for item definitions),1,STD,42,IS_YTD,18,F,YTD,2,1,$1.,Y,Y,Y
300,300,AQEPSY_FN,AQEPSY_FN,AQEPSY_FN,AM,FN,Acquisition/Merger Basic EPS FN,AQEPSY_FN: Acquisition/Merger Basic EPS Footnote (Refer to your Compustat documentation for item definitions),1,STD,42,IS_YTD,19,F,YTD,2,4,$4.,Y,Y,Y
301,301,AQEPS_DC,AQEPS_DC,AQEPS_DC,AM,DC,Acquisition/Merger Basic EPS Effect DC,AQEPS_DC: Acquisition/Merger Basic EPS Effect Data Code (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,22,F,ANNUAL,2,1,$1.,Y,Y,N
302,302,AQEPS_FN,AQEPS_FN,AQEPS_FN,AM,FN,Acquisition/Merger Basic EPS Effect FN,AQEPS_FN: Acquisition/Merger Basic EPS Effect Footnote (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,23,F,ANNUAL,2,4,$4.,Y,Y,Y
303,303,AQI,AQI,AQI,AM,IT,Acquisitions - Income Contribution,AQI: Acquisitions - Income Contribution (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,24,F,ANNUAL,1,8,14.4,Y,Y,Y
304,304,AQI_DC,AQI_DC,AQI_DC,AM,DC,Acquisitions - Income Contribution DC,AQI_DC: Acquisitions - Income Contribution Data Code (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,25,F,ANNUAL,2,1,$1.,Y,Y,Y
305,305,AQP,AQP,AQP,AM,IT,Acquisition/Merger Pretax,AQP: Acquisition/Merger Pretax (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,26,F,ANNUAL,1,8,14.4,Y,Y,Y
306,306,AQPL1,AQPL1,AQPL1,AM,IT,Assets Level1 (Quoted Prices),AQPL1: Assets Level1 (Quoted Prices) (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,62,F,ANNUAL,1,8,14.4,Y,Y,Y
307,307,AQPL1Q,AQPL1Q,AQPL1Q,AM,IT,Assets Level1 (Quoted Prices),AQPL1Q: Assets Level1 (Quoted Prices) (Refer to your Compustat documentation for item definitions),1,STD,6,BAL_QTR,35,F,QUARTERLY,1,8,14.4,Y,Y,Y
308,308,AQPL1Q_DC,AQPL1Q_DC,AQPL1Q_DC,AM,DC,Assets Level1 (Quoted Prices) DC,AQPL1Q_DC: Assets Level1 (Quoted Prices) Data Code (Refer to your Compustat documentation for item definitions),1,STD,6,BAL_QTR,36,F,QUARTERLY,2,1,$1.,Y,Y,N
309,309,AQPQ,AQPQ,AQPQ,AM,IT,Acquisition/Merger Pretax,AQPQ: Acquisition/Merger Pretax (Refer to your Compustat documentation for item definitions),1,STD,41,IS_QTR,20,F,QUARTERLY,1,8,14.4,Y,Y,Y
310,310,AQPQ_DC,AQPQ_DC,AQPQ_DC,AM,DC,Acquisition/Merger Pretax DC,AQPQ_DC: Acquisition/Merger Pretax Data Code (Refer to your Compustat documentation for item definitions),1,STD,41,IS_QTR,21,F,QUARTERLY,2,1,$1.,Y,Y,Y
311,311,AQPQ_FN,AQPQ_FN,AQPQ_FN,AM,FN,Acquisition/Merger Pretax FN,AQPQ_FN: Acquisition/Merger Pretax Footnote (Refer to your Compustat documentation for item definitions),1,STD,41,IS_QTR,22,F,QUARTERLY,2,4,$4.,Y,Y,N
312,312,AQPSA,AQPSA,AQPSA,AM,IT,Acquisition/Merger Pretax,AQPSA: Acquisition/Merger Pretax (Refer to your Compustat documentation for item definitions),1,STD,94,CCM_ALL_SA,16,F,SEMIANN,1,8,14.4,Y,Y,Y
313,313,AQPSA_DC,AQPSA_DC,AQPSA_DC,AM,DC,Acquisition/Merger Pretax DC,AQPSA_DC: Acquisition/Merger Pretax Data Code (Refer to your Compustat documentation for item definitions),1,STD,94,CCM_ALL_SA,17,F,SEMIANN,2,1,$1.,Y,Y,Y
314,314,AQPY,AQPY,AQPY,AM,IT,Acquisition/Merger Pretax,AQPY: Acquisition/Merger Pretax (Refer to your Compustat documentation for item definitions),1,STD,42,IS_YTD,20,F,YTD,1,8,14.4,Y,Y,Y
315,315,AQPY_DC,AQPY_DC,AQPY_DC,AM,DC,Acquisition/Merger Pretax DC,AQPY_DC: Acquisition/Merger Pretax Data Code (Refer to your Compustat documentation for item definitions),1,STD,42,IS_YTD,21,F,YTD,2,1,$1.,Y,Y,Y
316,316,AQPY_FN,AQPY_FN,AQPY_FN,AM,FN,Acquisition/Merger Pretax FN,AQPY_FN: Acquisition/Merger Pretax Footnote (Refer to your Compustat documentation for item definitions),1,STD,42,IS_YTD,22,F,YTD,2,4,$4.,Y,Y,N
317,317,AQP_DC,AQP_DC,AQP_DC,AM,DC,Acquisition/Merger Pretax DC,AQP_DC: Acquisition/Merger Pretax Data Code (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,27,F,ANNUAL,2,1,$1.,Y,Y,Y
318,318,AQP_FN,AQP_FN,AQP_FN,AM,FN,Acquisition/Merger Pretax FN,AQP_FN: Acquisition/Merger Pretax footnote (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,28,F,ANNUAL,2,4,$4.,Y,Y,N
319,319,AQS,AQS,AQS,AM,IT,Acquisitions - Sales Contribution,AQS: Acquisitions - Sales Contribution (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,29,F,ANNUAL,1,8,14.4,Y,Y,Y
320,320,AQS_DC,AQS_DC,AQS_DC,AM,DC,Acquisitions - Sales Contribution DC,AQS_DC: Acquisitions - Sales Contribution Data Code (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,30,F,ANNUAL,2,1,$1.,Y,Y,Y
321,321,AQS_FN,AQS_FN,AQS_FN,AM,FN,Acquisitions - Sales Contribution FN,AQS_FN: Acquisitions - Sales Contribution Footnote (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,31,F,ANNUAL,2,4,$4.,Y,Y,Y
322,322,ARB,ARB,ARB,AM,IT,"Accounts Receivable/Debtors - Brokers, Dealers, & Clearing Organizations","ARB: Accounts Receivable/Debtors - Brokers, Dealers, and Clearing Organizations (Refer to your Compustat documentation for item definitions)",4,FS,4,BAL_ANN_FS,18,F,ANNUAL,1,8,14.4,Y,Y,Y
323,323,ARBDDMA,ARBDDMA,ARBDDMA,AM,IT,Additions to Reserves for Bad Debts Due to Mergers and Absorptions,ARBDDMA: Additions to Reserves for Bad Debts Due to Mergers and Absorptions (Refer to your Compustat documentation for item definitions),2100,BSTD,7,BNK_ANN,18,F,ANNUAL,1,8,14.4,Y,Y,N
324,324,ARC,ARC,ARC,AM,IT,Accounts Receivable/Debtors - Customer,ARC: Accounts Receivable/Debtors - Customer (Refer to your Compustat documentation for item definitions),4,FS,4,BAL_ANN_FS,19,F,ANNUAL,1,8,14.4,Y,Y,Y
325,325,ARCE,ARCE,ARCE,AM,IT,As Reported Core - After-tax,ARCE: As Reported Core - After-tax (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,32,F,ANNUAL,1,8,14.4,Y,Y,N
326,326,ARCED,ARCED,ARCED,AM,IT,As Reported Core - Diluted EPS Effect,ARCED: As Reported Core - Diluted EPS Effect (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,34,F,ANNUAL,1,8,14.4,Y,Y,N
327,327,ARCEDQ,ARCEDQ,ARCEDQ,AM,IT,As Reported Core - Diluted EPS Effect,ARCEDQ: As Reported Core - Diluted EPS Effect (Refer to your Compustat documentation for item definitions),1,STD,41,IS_QTR,23,F,QUARTERLY,1,8,14.4,Y,Y,N
328,328,ARCEDQ_DC,ARCEDQ_DC,ARCEDQ_DC,AM,DC,As Reported Core - Diluted EPS Effect DC,ARCEDQ_DC: As Reported Core - Diluted EPS Effect Data Code (Refer to your Compustat documentation for item definitions),1,STD,65,OTH_QTR,38,F,QUARTERLY,2,1,$1.,Y,Y,N
329,329,ARCEDQ_FN,ARCEDQ_FN,ARCEDQ_FN,AM,FN,As Reported Core - Diluted EPS Effect FN,ARCEDQ_FN: As Reported Core - Diluted EPS Effect Footnote (Refer to your Compustat documentation for item definitions),1,STD,41,IS_QTR,24,F,QUARTERLY,2,4,$4.,Y,Y,N
330,330,ARCEDSA,ARCEDSA,ARCEDSA,AM,IT,As Reported Core - Diluted EPS Effect,ARCEDSA: As Reported Core - Diluted EPS Effect (Refer to your Compustat documentation for item definitions),1,STD,94,CCM_ALL_SA,18,F,SEMIANN,1,8,14.4,Y,Y,N
331,331,ARCEDSA_DC,ARCEDSA_DC,ARCEDSA_DC,AM,DC,As Reported Core - Diluted EPS Effect DC,ARCEDSA_DC: As Reported Core - Diluted EPS Effect Data Code (Refer to your Compustat documentation for item definitions),1,STD,94,CCM_ALL_SA,19,F,SEMIANN,2,1,$1.,Y,Y,N
332,332,ARCEDY,ARCEDY,ARCEDY,AM,IT,As Reported Core - Diluted EPS Effect,ARCEDY: As Reported Core - Diluted EPS Effect (Refer to your Compustat documentation for item definitions),1,STD,42,IS_YTD,23,F,YTD,1,8,14.4,Y,Y,N
333,333,ARCEDY_DC,ARCEDY_DC,ARCEDY_DC,AM,DC,As Reported Core - Diluted EPS Effect DC,ARCEDY_DC: As Reported Core - Diluted EPS Effect Data Code (Refer to your Compustat documentation for item definitions),1,STD,66,OTH_YTD,38,F,YTD,2,1,$1.,Y,Y,N
334,334,ARCEDY_FN,ARCEDY_FN,ARCEDY_FN,AM,FN,As Reported Core - Diluted EPS Effect FN,ARCEDY_FN: As Reported Core - Diluted EPS Effect Footnote (Refer to your Compustat documentation for item definitions),1,STD,42,IS_YTD,24,F,YTD,2,4,$4.,Y,Y,N
335,335,ARCED_FN,ARCED_FN,ARCED_FN,AM,FN,As Reported Core - Diluted EPS Effect FN,ARCED_FN: As Reported Core - Diluted EPS Effect Footnote (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,35,F,ANNUAL,2,4,$4.,Y,Y,N
336,336,ARCEEPS,ARCEEPS,ARCEEPS,AM,IT,As Reported Core - Basic EPS Effect,ARCEEPS: As Reported Core - Basic EPS Effect (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,36,F,ANNUAL,1,8,14.4,Y,Y,N
337,337,ARCEEPSQ,ARCEEPSQ,ARCEEPSQ,AM,IT,As Reported Core - Basic EPS Effect,ARCEEPSQ: As Reported Core - Basic EPS Effect (Refer to your Compustat documentation for item definitions),1,STD,41,IS_QTR,25,F,QUARTERLY,1,8,14.4,Y,Y,N
338,338,ARCEEPSQ_DC,ARCEEPSQ_DC,ARCEEPSQ_DC,AM,DC,As Reported Core - Basic EPS Effect DC,ARCEEPSQ_DC: As Reported Core - Basic EPS Effect Data Code (Refer to your Compustat documentation for item definitions),1,STD,65,OTH_QTR,39,F,QUARTERLY,2,1,$1.,Y,Y,N
339,339,ARCEEPSQ_FN,ARCEEPSQ_FN,ARCEEPSQ_FN,AM,FN,As Reported Core - Basic EPS Effect FN,ARCEEPSQ_FN: As Reported Core - Basic EPS Effect Footnote (Refer to your Compustat documentation for item definitions),1,STD,41,IS_QTR,26,F,QUARTERLY,2,4,$4.,Y,Y,N
340,340,ARCEEPSSA,ARCEEPSSA,ARCEEPSSA,AM,IT,As Reported Core - Basic EPS Effect,ARCEEPSSA: As Reported Core - Basic EPS Effect (Refer to your Compustat documentation for item definitions),1,STD,94,CCM_ALL_SA,20,F,SEMIANN,1,8,14.4,Y,Y,N
341,341,ARCEEPSSA_DC,ARCEEPSSA_DC,ARCEEPSSA_DC,AM,DC,As Reported Core - Basic EPS Effect DC,ARCEEPSSA_DC: As Reported Core - Basic EPS Effect Data Code (Refer to your Compustat documentation for item definitions),1,STD,94,CCM_ALL_SA,21,F,SEMIANN,2,1,$1.,Y,Y,N
342,342,ARCEEPSY,ARCEEPSY,ARCEEPSY,AM,IT,As Reported Core - Basic EPS Effect,ARCEEPSY: As Reported Core - Basic EPS Effect (Refer to your Compustat documentation for item definitions),1,STD,42,IS_YTD,25,F,YTD,1,8,14.4,Y,Y,N
343,343,ARCEEPSY_DC,ARCEEPSY_DC,ARCEEPSY_DC,AM,DC,As Reported Core - Basic EPS Effect DC,ARCEEPSY_DC: As Reported Core - Basic EPS Effect Data Code (Refer to your Compustat documentation for item definitions),1,STD,66,OTH_YTD,39,F,YTD,2,1,$1.,Y,Y,N
344,344,ARCEEPSY_FN,ARCEEPSY_FN,ARCEEPSY_FN,AM,FN,As Reported Core - Basic EPS Effect FN,ARCEEPSY_FN: As Reported Core - Basic EPS Effect Footnote (Refer to your Compustat documentation for item definitions),1,STD,42,IS_YTD,26,F,YTD,2,4,$4.,Y,Y,N
345,345,ARCEEPS_FN,ARCEEPS_FN,ARCEEPS_FN,AM,FN,As Reported Core - Basic EPS Effect FN,ARCEEPS_FN: As Reported Core - Basic EPS Effect Footnote (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,37,F,ANNUAL,2,4,$4.,Y,Y,N
346,346,ARCEQ,ARCEQ,ARCEQ,AM,IT,As Reported Core - After-tax,ARCEQ: As Reported Core - After-tax (Refer to your Compustat documentation for item definitions),1,STD,41,IS_QTR,27,F,QUARTERLY,1,8,14.4,Y,Y,N
347,347,ARCEQ_DC,ARCEQ_DC,ARCEQ_DC,AM,DC,As Reported Core - After-tax DC,ARCEQ_DC: As Reported Core - After-tax Data Code (Refer to your Compustat documentation for item definitions),1,STD,65,OTH_QTR,40,F,QUARTERLY,2,1,$1.,Y,Y,N
348,348,ARCEQ_FN,ARCEQ_FN,ARCEQ_FN,AM,FN,As Reported Core - After-tax FN,ARCEQ_FN: As Reported Core - After-tax Footnote (Refer to your Compustat documentation for item definitions),1,STD,41,IS_QTR,28,F,QUARTERLY,2,4,$4.,Y,Y,N
349,349,ARCESA,ARCESA,ARCESA,AM,IT,As Reported Core - After-tax,ARCESA: As Reported Core - After-tax (Refer to your Compustat documentation for item definitions),1,STD,94,CCM_ALL_SA,22,F,SEMIANN,1,8,14.4,Y,Y,N
350,350,ARCESA_DC,ARCESA_DC,ARCESA_DC,AM,DC,As Reported Core - After-tax DC,ARCESA_DC: As Reported Core - After-tax Data Code (Refer to your Compustat documentation for item definitions),1,STD,94,CCM_ALL_SA,23,F,SEMIANN,2,1,$1.,Y,Y,N
351,351,ARCEY,ARCEY,ARCEY,AM,IT,As Reported Core - After-tax,ARCEY: As Reported Core - After-tax (Refer to your Compustat documentation for item definitions),1,STD,42,IS_YTD,27,F,YTD,1,8,14.4,Y,Y,N
352,352,ARCEY_DC,ARCEY_DC,ARCEY_DC,AM,DC,As Reported Core - After-tax DC,ARCEY_DC: As Reported Core - After-tax Data Code (Refer to your Compustat documentation for item definitions),1,STD,66,OTH_YTD,40,F,YTD,2,1,$1.,Y,Y,N
353,353,ARCEY_FN,ARCEY_FN,ARCEY_FN,AM,FN,As Reported Core - After-tax FN,ARCEY_FN: As Reported Core - After-tax Footnote (Refer to your Compustat documentation for item definitions),1,STD,42,IS_YTD,28,F,YTD,2,4,$4.,Y,Y,N
354,354,ARCE_FN,ARCE_FN,ARCE_FN,AM,FN,As Reported Core - After-tax FN,ARCE_FN: As Reported Core - After-tax Footnote (Refer to your Compustat documentation for item definitions),1,STD,40,IS_ANN_INDL,33,F,ANNUAL,2,4,$4.,Y,Y,N
355,355,AROL,AROL,AROL,AM,IT,Allowance/Reserve for Other Losses,AROL: Allowance/Reserve for Other Losses (Refer to your Compustat documentation for item definitions),2100,BSTD,7,BNK_ANN,19,F,ANNUAL,1,8,14.4,Y,Y,Y
356,356,AROLQ,AROLQ,AROLQ,AM,IT,Allowance/Reserve for Other Losses,AROLQ: Allowance/Reserve for Other Losses (Refer to your Compustat documentation for item definitions),2100,BSTD,8,BNK_QTR,18,F,QUARTERLY,1,8,14.4,Y,Y,Y
357,357,AROLQ_DC,AROLQ_DC,AROLQ_DC,AM,DC,Allowance/Reserve for Other Losses DC,AROLQ_DC: Allowance/Reserve for Other Losses Data Code (Refer to your Compustat documentation for item definitions),2100,BSTD,8,BNK_QTR,19,F,QUARTERLY,2,1,$1.,Y,Y,N
358,358,AROL_DC,AROL_DC,AROL_DC,AM,DC,Allowance/Reserve for Other Losses DC,AROL_DC: Allowance/Reserve for Other Losses Data Code (Refer to your Compustat documentation for item definitions),2100,BSTD,7,BNK_ANN,20,F,ANNUAL,2,1,$1.,Y,Y,N
359,359,ARTFS,ARTFS,ARTFS,AM,IT,Accounts Receivable/Debtors - Total,ARTFS: Accounts Receivable/Debtors - Total (Refer to your Compustat documentation for item definitions),4,FS,4,BAL_ANN_FS,20,F,ANNUAL,1,8,14.4,Y,Y,Y
360,360,ARTFS_DC,ARTFS_DC,ARTFS_DC,AM,DC,Accounts Receivable/Debtors - Total DC,ARTFS_DC: Accounts Receivable/Debtors - Total Data Code (Refer to your Compustat documentation for item definitions),4,FS,4,BAL_ANN_FS,21,F,ANNUAL,2,1,$1.,Y,Y,N
361,361,ARTFS_FN,ARTFS_FN,ARTFS_FN,AM,FN,Accounts Receivable/Debtors - Total FN,ARTFS_FN: Accounts Receivable/Debtors - Total Footnote (Refer to your Compustat documentation for item definitions),4,FS,4,BAL_ANN_FS,22,F,ANNUAL,2,4,$4.,Y,Y,N
362,362,AT,AT,AT,AM,IT,Assets - Total,AT: Assets - Total (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,63,F,ANNUAL,1,8,14.4,Y,Y,Y
363,363,ATE,ATE,ATE,AM,IT,Assets - Total Earning,ATE: Assets - Total Earning (Refer to your Compustat documentation for item definitions),2100,BSTD,7,BNK_ANN,21,F,ANNUAL,1,8,14.4,Y,Y,Y
364,364,ATQ,ATQ,ATQ,AM,IT,Assets - Total,ATQ: Assets - Total (Refer to your Compustat documentation for item definitions),1,STD,6,BAL_QTR,37,F,QUARTERLY,1,8,14.4,Y,Y,Y
365,365,ATQ_DC,ATQ_DC,ATQ_DC,AM,DC,Assets - Total DC,ATQ_DC: Assets - Total - Quarterly - Data Code (Refer to your Compustat documentation for item definitions),1,STD,6,BAL_QTR,38,F,QUARTERLY,2,1,$1.,Y,Y,N
366,366,ATQ_FN1,ATQ_FN1,ATQ_FN1,AM,FN,Assets - Total FN,ATQ_FN1: Assets - Total Footnote (Refer to your Compustat documentation for item definitions),1,STD,6,BAL_QTR,39,F,QUARTERLY,2,4,$4.,Y,Y,Y
367,367,AT_FN,AT_FN,AT_FN,AM,FN,Assets - Total FN,AT_FN: Assets - Total Footnote (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,64,F,ANNUAL,2,4,$4.,Y,Y,Y
368,368,AU,AU,AU,AM,IT,Auditor,AU: Auditor (Refer to your Compustat documentation for item definitions),14,STD1,2,CCM_AAUDIT,8,F,ANNUAL,1,8,8.,Y,Y,Y
369,369,AUL3,AUL3,AUL3,AM,IT,Assets Level3 (Unobservable),AUL3: Assets Level3 (Unobservable) (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,65,F,ANNUAL,1,8,14.4,Y,Y,Y
370,370,AUL3Q,AUL3Q,AUL3Q,AM,IT,Assets Level3 (Unobservable),AUL3Q: Assets Level3 (Unobservable) (Refer to your Compustat documentation for item definitions),1,STD,6,BAL_QTR,40,F,QUARTERLY,1,8,14.4,Y,Y,Y
371,371,AUL3Q_DC,AUL3Q_DC,AUL3Q_DC,AM,DC,Assets Level3 (Unobservable) DC,AUL3Q_DC: Assets Level3 (Unobservable) Data Code (Refer to your Compustat documentation for item definitions),1,STD,6,BAL_QTR,41,F,QUARTERLY,2,1,$1.,Y,Y,N
372,372,AUOP,AUOP,AUOP,AM,IT,Auditor Opinion,AUOP: Auditor Opinion (Refer to your Compustat documentation for item definitions),14,STD1,2,CCM_AAUDIT,9,F,ANNUAL,1,8,8.,Y,Y,Y
373,373,AUOPIC,AUOPIC,AUOPIC,AM,IT,Auditor Opinion - Internal Control,AUOPIC: Auditor Opinion - Internal Control (Refer to your Compustat documentation for item definitions),14,STD1,2,CCM_AAUDIT,10,F,ANNUAL,2,1,$1.,Y,Y,Y
374,374,AUTO,AUTO,AUTO,AM,IT,Sale of Passenger Cars,AUTO: Sale of Passenger Cars (Refer to your Compustat documentation for item definitions),1001,CAN,30,ECIND,4,C,MONTHLY,1,8,16.4,Y,Y,Y
375,375,AUTXR,AUTXR,AUTXR,AM,IT,Appropriations to Untaxed Reserves,AUTXR: Appropriations to Untaxed Reserves (Refer to your Compustat documentation for item definitions),4,FS,39,IS_ANN_FS,14,F,ANNUAL,1,8,14.4,Y,Y,Y
376,376,BALR,BALR,BALR,AM,IT,Benefits Assumed - Life,BALR: Benefits Assumed - Life (Refer to your Compustat documentation for item definitions),4,FS,39,IS_ANN_FS,15,F,ANNUAL,1,8,14.4,Y,Y,N
377,377,BALR_DC,BALR_DC,BALR_DC,AM,DC,Benefits Assumed - Life DC,BALR_DC: Benefits Assumed - Life Data Code (Refer to your Compustat documentation for item definitions),4,FS,39,IS_ANN_FS,16,F,ANNUAL,2,1,$1.,Y,Y,N
378,378,BANLR,BANLR,BANLR,AM,IT,Benefits Assumed - Nonlife,BANLR: Benefits Assumed - Nonlife (Refer to your Compustat documentation for item definitions),4,FS,39,IS_ANN_FS,17,F,ANNUAL,1,8,14.4,Y,Y,N
379,379,BANLR_DC,BANLR_DC,BANLR_DC,AM,DC,Benefits Assumed - Nonlife DC,BANLR_DC: Benefits Assumed - Nonlife Data Code (Refer to your Compustat documentation for item definitions),4,FS,39,IS_ANN_FS,18,F,ANNUAL,2,1,$1.,Y,Y,N
380,380,BASEITEMDESC,BASEITEMDESC,Metadata,MD,MD,Base Item Description,Not in Compustat documentation,-1,DNE,-1,ITEMREL,3,N,N/A,2,24,$24.,Y,Y,Y
381,381,BASEITEMKEY,BASEITEMKEY,Metadata,MD,MD,Base Item Key,Not in Compustat documentation,-1,DNE,-1,ITEMREL,1,N,N/A,1,24,$24.,Y,Y,Y
382,382,BASEITEMNAME,BASEITEMNAME,Metadata,MD,MD,Base Item Name,Not in Compustat documentation,-1,DNE,-1,ITEMREL,2,N,N/A,2,24,$24.,Y,Y,Y
383,383,BAST,BAST,BAST,AM,IT,Average Short-Term Borrowings,BAST: Average Short-Term Borrowings (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,66,F,ANNUAL,1,8,14.4,Y,Y,N
384,384,BASTR,BASTR,BASTR,AM,IT,Average Short-Term Borrowings Rate,BASTR: Average Short-Term Borrowings Rate (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,68,F,ANNUAL,1,8,14.4,Y,Y,N
385,385,BASTR_DC,BASTR_DC,BASTR_DC,AM,DC,Average Short-Term Borrowings Rate DC,BASTR_DC: Average Short-Term Borrowings Rate Data Code (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,69,F,ANNUAL,2,1,$1.,Y,Y,N
386,386,BAST_DC,BAST_DC,BAST_DC,AM,DC,Average Short-Term Borrowings DC,BAST_DC: Average Short-Term Borrowings Data Code (Refer to your Compustat documentation for item definitions),1,STD,5,BAL_ANN_INDL,67,F,ANNUAL,2,1,$1.,Y,Y,N
387,387,BATR,BATR,BATR,AM,IT,Benefits Assumed - Total,BATR: Benefits Assumed - Total (Refer to your Compustat documentation for item definitions),4,FS,39,IS_ANN_FS,19,F,ANNUAL,1,8,14.4,Y,Y,N
388,388,BATR_DC,BATR_DC,BATR_DC,AM,DC,Benefits Assumed - Total DC,BATR_DC: Benefits Assumed - Total Data Code (Refer to your Compustat documentation for item definitions),4,FS,39,IS_ANN_FS,20,F,ANNUAL,2,1,$1.,Y,Y,N
389,389,BCEF,BCEF,BCEF,AM,IT,"Brokerage, Clearing & Exchange Fees","BCEF: Brokerage, Clearing and Exchange Fees (Refer to your Compustat documentation for item definitions)",4,FS,39,IS_ANN_FS,21,F,ANNUAL,1,8,14.4,Y,Y,Y
390,390,BCEF_DC,BCEF_DC,BCEF_DC,AM,DC,"Brokerage, Clearing & Exchange Fees DC","BCEF_DC: Brokerage, Clearing and Exchange Fees Data Code (Refer to your Compustat documentation for item definitions)",4,FS,39,IS_ANN_FS,22,F,ANNUAL,2,1,$1.,Y,Y,Y
391,391,BCLR,BCLR,BCLR,AM,IT,Benefits Ceded - Life,BCLR: Benefits Ceded - Life (Refer to your Compustat documentation for item definitions),4,FS,39,IS_ANN_FS,23,F,ANNUAL,1,8,14.4,Y,Y,N
392,392,BCLR_DC,BCLR_DC,BCLR_DC,AM,DC,Benefits Ceded - Life DC,BCLR_DC: Benefits Ceded - Life Data Code (Refer to your Compustat documentation for item definitions),4,FS,39,IS_ANN_FS,24,F,ANNUAL,2,1,$1.,Y,Y,N
393,393,BCLTBL,BCLTBL,BCLTBL,AM,IT,Benefits & Claims - Total (Business Line),BCLTBL: Benefits and Claims - Total (Business Line) (Refer to your Compustat documentation for item definitions),4,FS,39,IS_ANN_FS,25,F,ANNUAL,1,8,14.4,Y,Y,N
394,394,BCNLR,BCNLR,BCNLR,AM,IT,Benefits Ceded - Nonlife,BCNLR: Benefits Ceded - Nonlife (Refer to your Compustat documentation for item definitions),4,FS,39,IS_ANN_FS,26,F,ANNUAL,1,8,14.4,Y,Y,N
395,395,BCNLR_DC,BCNLR_DC,BCNLR_DC,AM,DC,Benefits Ceded - Nonlife DC,BCNLR_DC: Benefits Ceded - Nonlife Data Code (Refer to your Compustat documentation for item definitions),4,FS,39,IS_ANN_FS,27,F,ANNUAL,2,1,$1.,Y,Y,N
396,396,BCRBL,BCRBL,BCRBL,AM,IT,Benefits & Claims - Reinsurance (Business Line),BCRBL: Benefits and Claims - Reinsurance (Business Line) (Refer to your Compustat documentation for item definitions),4,FS,39,IS_ANN_FS,28,F,ANNUAL,1,8,14.4,Y,Y,N
397,397,BCRBL_DC,BCRBL_DC,BCRBL_DC,AM,DC,Benefits & Claims - Reinsurance (Business Line) DC,BCRBL_DC: Benefits and Claims - Reinsurance (Business Line) Data Code (Refer to your Compustat documentation for item definitions),4,FS,39,IS_ANN_FS,29,F,ANNUAL,2,1,$1.,Y,Y,N
398,398,BCT,BCT,BCT,AM,IT,Benefits & Claims - Total (Insurance),BCT: Benefits and Claims - Total (Insurance) (Refer to your Compustat documentation for item definitions),4,FS,39,IS_ANN_FS,30,F,ANNUAL,1,8,14.4,Y,Y,Y
399,399,BCTBL,BCTBL,BCTBL,AM,IT,Benefits & Claims - Other (Business Line),BCTBL: Benefits and Claims - Other (Business Line) (Refer to your Compustat documentation for item definitions),4,FS,39,IS_ANN_FS,32,F,ANNUAL,1,8,14.4,Y,Y,N
400,400,BCTBL_DC,BCTBL_DC,BCTBL_DC,AM,DC,Benefits & Claims - Other (Business Line) DC,BCTBL_DC: Benefits and Claims - Other (Business Line) Data Code (Refer to your Compustat documentation for item definitions),4,FS,39,IS_ANN_FS,33,F,ANNUAL,2,1,$1.,Y,Y,N
